21/04/2010,Building Mobile Applications,,,,
,Building Mobile Applications,Earle Castledine,@mrspeaker,,
19/05/2010,,,,,
16/06/2010,,,,,
,Github for JavaScripters,Lachlan Hardy,@lachlanhardy,http://www.slideshare.net/lachlanhardy/github-for-javascripters,
,Architecting JavaScript Applications,Julio Cesar Ody,@julio_ody,http://sydjs-architecting.heroku.com/,
21/07/2010,,,,,
,CoffeeScript,Gabe Hollombe,@gabehollombe,,
,NodeJS,Jared Wyles,@rioter,,
18/08/2010,,,,,
,Regular Expressions,Scott Hughes,,,
,Traits in JavaScript,Patrick Lee,@boundvariable,,
16/09/2010,,,,,
,YUI3 and custom components,Nathanael Shergold,,,
,Types in JavaScript,Steve Haffenden,@SMHaffenden,,
,Sammy.js,,,,
13/10/2010,JavaScript library discussion panel (Web Week special),,,http://blog.pamelafox.org/2010/10/sydjs-javascript-libraries-panel.html,
,Raphaël,"Dmitry Baranovskiy, Sencha",@DmitryBaranovsk,,
,jQuery,"Julio Cesar Ody, Awesome By Design",@julio_ody,,
,YUI 2,"Matthew Sain, Yahoo!7",,,
,YUI 3,"Tom Hughes Croucher, Yahoo!",@sh1mmer,,
,Maps API,"James McGill, Google",,,
,Closure,"Dan Nadasi, Google",@DanialNadasi,,
,Sencha,"Evan Trimboli, Sencha",,,
,AUI,"Jared Wyles, Atlassian",@rioter,,
17/11/2010,,,,,
,Web Directions South Title Sequence,    Cameron Adams,@themaninblue,,"http://www.themaninblue.com/experiment/wds10/
http://themaninblue.com/writing/perspective/2010/10/18/"
,Making the Most of Tail Calls,    Erik de Castro Lopo,,http://www.mega-nerd.com/erikd/Blog/CodeHacking/fp-tail-js.html,https://github.com/spencertipping/js-in-ten-minutes/
15/12/2010,,,,,
,Sammy.js,    Steve Haffenden,@SMHaffenden,,
,Functional Programming,    Jared Wyles,@rioter,,
,Setting up a Framework,    Aaron Powell,@slace,http://www.aaron-powell.com/sydjs-javascript-frameworks,
,Demystifying Prototype!,    Dmitry Baranovskiy,@DmitryBaranovsk,http://www.slideshare.net/Dmitry.Baranovskiy/demystifying-prototypes-6183470,
19/01/2011,,,,,
,Practical Guide to WAI-ARIA,    Sam Dwyer,,,
,Impact.js,    Chris Darroch,@chrisdarroch,,
,Working with SydJS.com,    Lachlan Hardy,@lachlanhardy,http://slideshare.net/lachlanhardy/sydjscom,
16/02/2011,,,,,
,Deploying Node.js & Staying Sane,    Micheil Smith,@miksago,http://www.slideshare.net/miksago/sydjs-deploying-nodejs-and-staying-sane,
,"BLAM … Beautify, Lint, And Minify your JavaScript",    Mikkel Bergmann,,,https://github.com/jsguy/blam
,WebGL – How it all works,    Jarrad Hope,@wtfking,http://www.slideshare.net/wtfking/sydjs-talk,"http://learningwebgl.com/
https://github.com/mrdoob/three.js/"
16/03/2011,,,,,
,Node.js and Windows and getting it right,Tatham Oddie,@tathamoddie,http://blog.tatham.oddie.com.au/2011/03/16/node-js-on-windows/,
,Giving your JavaScript a little Backbone.js,Julio Cesar Ody,@julo_ody,http://backbone-dot-js-intro.heroku.com/,
,Raphaël 2.0 RC,Dmitry Baranovskiy,@DmitryBaranovsk,,
20/04/2011,,,,,
,Archers vs Zombies! ~ Making games with EaselJS,Gabe Hollombe,@gabehollombe,http://avz-preso.heroku.com/,
,Special guest talk,Dave Thomas,,,
,"ShareJS (Stop, Collaborate, and Listen)",Joseph Gentle,"@josephgentle
@sharejslib",,http://sharejs.org
18/05/2011,,,,,
